wavelength (nm),n_o,k_o,n_e,k_e
994.7879179,2.789347,0.041958,2.523665,0.034205
996.3539918,2.789107,0.041886,2.523478,0.03416
997.919382,2.788868,0.041814,2.523291,0.034115
999.4848643,2.78863,0.041743,2.523104,0.03407
1012.831088,2.786643,0.041144,2.521548,0.033689
1016.273084,2.786142,0.040992,2.521155,0.033591
1019.71591,2.785645,0.040842,2.520765,0.033494
1023.156811,2.785153,0.040692,2.520379,0.033398
1026.598061,2.784665,0.040544,2.519996,0.033302
1030.038577,2.784182,0.040396,2.519616,0.033207
1033.47897,2.783703,0.04025,2.519239,0.033113
1036.919008,2.783228,0.040105,2.518866,0.033019
1040.358453,2.782757,0.039961,2.518495,0.032925
1043.797063,2.78229,0.039818,2.518128,0.032832
1047.235481,2.781828,0.039676,2.517764,0.03274
1050.673478,2.781369,0.039536,2.517402,0.032648
1054.111716,2.780914,0.039396,2.517044,0.032557
1057.549077,2.780463,0.039257,2.516688,0.032467
1060.985322,2.780016,0.03912,2.516335,0.032377
1064.422039,2.779573,0.038983,2.515985,0.032288
1067.858098,2.779133,0.038848,2.515638,0.0322
1071.294197,2.778697,0.038713,2.515293,0.032113
1074.729189,2.778264,0.03858,2.514951,0.032026
1078.164716,2.777835,0.038448,2.514612,0.03194
1081.599632,2.77741,0.038316,2.514275,0.031854
1085.033714,2.776988,0.038186,2.513941,0.03177
1088.467693,2.776569,0.038057,2.513609,0.031686
1091.901361,2.776153,0.037929,2.51328,0.031602
